Age,Income,Education,HoursWorked,Purchase
25,30,1,42,0
41,30,3,36,1
28,44,1,38,0
34,75,1,48,0
25,46,0,35,0
52,27,1,23,1
52,46,2,57,1
50,45,1,53,1
22,15,2,27,0
59,49,3,46,1
56,46,0,34,1
58,60,1,42,1
45,77,0,42,1
24,66,2,37,0
26,45,1,32,0
25,33,1,33,0
29,88,2,30,0
51,50,1,31,0
50,50,3,39,1
40,49,1,32,0
41,52,0,46,0
54,47,1,54,1
52,41,2,34,1
61,41,1,42,1
57,49,2,44,1
39,41,3,44,1
44,39,0,40,1
52,51,3,47,1
18,46,0,44,0
52,72,0,27,1
54,15,0,48,0
64,66,2,48,1
31,68,1,32,0
20,18,0,40,0
18,44,1,46,0
22,44,1,37,0
43,28,0,50,0
31,38,2,63,0
56,33,2,32,1
44,76,1,26,0
26,64,3,43,0
32,69,1,47,0
32,60,3,37,1
43,33,1,54,0
59,42,1,26,1
30,57,0,46,0
49,31,2,33,1
56,60,1,57,0
49,46,0,59,0
21,44,0,32,0
47,60,1,34,0
54,56,1,48,1
40,44,2,36,1
56,67,2,39,1
62,33,0,40,1
32,59,2,20,0
60,58,0,39,1
46,45,2,33,1
53,54,2,35,1
30,31,1,54,0
49,63,2,27,1
24,47,1,48,0
39,42,1,37,1
45,65,2,37,1
19,39,1,47,0
59,28,1,43,1
62,26,1,45,1
23,59,2,49,0
45,30,1,36,0
45,76,0,33,1
61,18,2,29,1
61,75,2,31,1
37,53,0,69,0
47,48,0,52,0
28,41,0,26,0
45,55,1,26,0
42,49,1,44,1
56,66,2,45,1
50,51,1,45,1
18,52,1,37,0
44,44,1,38,1
30,49,2,43,1
58,54,1,40,1
20,24,3,17,0
56,29,1,37,1
23,61,0,31,0
25,52,1,41,0
44,47,1,69,0
26,50,1,43,0
54,55,0,36,1
50,41,0,49,0
59,38,2,44,1
61,52,0,44,1
41,35,2,46,1
32,56,0,60,0
49,24,1,28,0
49,65,1,44,1
41,57,1,30,1
58,53,1,45,1
29,64,0,30,0
56,74,0,35,1
19,65,1,37,0
20,22,1,49,0
54,30,3,49,1
34,40,2,27,0
19,50,2,40,0
19,57,2,32,0
45,39,1,27,1
40,52,0,37,0
54,38,3,36,1
49,40,1,64,1
50,28,1,44,1
18,36,0,26,0
36,29,1,34,0
19,35,1,50,0
61,65,2,60,1
43,35,1,24,0
49,89,1,21,1
23,57,3,58,1
49,52,0,43,1
21,37,1,31,0
28,60,0,45,0
34,41,2,13,0
55,51,3,40,1
41,88,0,43,1
22,48,2,49,0
51,67,0,29,1
23,39,3,40,0
39,49,2,30,0
28,76,2,42,1
33,40,0,31,0
50,77,3,35,1
26,60,2,30,0
23,41,1,46,0
33,59,2,48,1
46,64,0,37,1
20,59,2,40,0
37,26,0,25,0
53,39,2,37,1
36,46,1,39,0
43,48,0,66,0
20,59,0,28,0
36,52,0,54,0
37,29,1,49,0
49,55,1,42,1
24,59,1,57,0
58,58,0,43,1
50,66,0,43,1
57,62,2,39,1
56,56,0,52,1
35,48,3,50,1
57,25,2,33,1
18,56,1,26,0
28,53,1,37,0
45,54,2,31,1
42,30,0,39,0
40,33,0,52,0
48,65,0,35,1
47,49,2,39,1
59,60,0,40,1
52,50,1,48,1
24,50,3,17,1
33,64,2,33,0
43,42,1,42,1
19,51,0,52,0
18,43,2,35,0
29,43,1,21,0
22,45,0,46,0
54,53,0,33,1
49,42,3,28,1
26,68,1,33,0
58,36,2,38,1
52,47,2,33,1
36,43,1,17,0
33,71,1,48,0
20,52,1,52,0
37,65,1,46,1
41,27,1,28,0
50,54,2,37,1
41,63,1,39,1
28,51,2,45,1
25,65,1,46,0
53,42,1,32,0
55,71,1,40,1
57,84,1,44,1
37,44,2,54,1
52,43,0,47,0
42,71,1,47,1
52,73,0,40,0
42,42,1,54,1
46,43,1,44,1
35,45,1,31,0
63,29,3,54,1
35,36,1,46,0
19,34,2,35,0
52,38,1,35,1
33,49,1,42,0
58,53,0,44,1
53,73,0,41,1
50,35,1,43,1
21,64,1,56,0
50,46,0,50,1
31,49,0,41,0
38,60,0,49,0
37,33,3,29,1
25,55,1,43,0
24,52,1,58,0
20,57,0,37,0
34,54,1,31,0
50,86,0,33,1
29,40,0,29,0
39,42,1,32,0
39,40,0,36,0
63,41,0,25,1
47,40,0,40,1
55,67,0,49,1
55,71,0,30,1
62,41,1,55,1
25,37,2,45,0
44,57,1,50,0
44,41,1,33,0
51,59,0,48,1
38,53,3,29,1
47,27,1,48,0
50,73,0,41,1
45,76,1,45,1
64,40,0,28,1
50,44,1,31,0
22,54,1,45,0
36,55,2,30,1
21,59,1,44,0
52,80,2,26,1
34,47,3,48,1
61,38,0,27,1
45,29,0,45,0
47,39,1,46,1
46,49,1,33,1
63,76,1,45,1
23,42,3,42,0
52,53,2,34,1
58,49,1,29,1
54,67,1,20,1
41,87,2,43,1
46,42,3,24,1
63,42,2,40,1
48,65,0,37,1
52,60,1,46,1
50,77,0,36,1
38,58,0,36,0
49,44,0,47,1
40,58,1,43,1
50,66,1,43,1
20,62,0,44,0
35,57,1,24,0
42,66,1,47,1
59,67,1,46,1
48,70,0,29,1
20,59,1,37,0
57,47,2,39,1
63,52,0,38,1
41,68,0,43,1
49,37,1,54,1
64,55,3,50,1
39,44,1,26,0
40,50,1,46,1
19,69,1,53,0
44,52,1,43,1
59,50,0,50,1
19,29,1,60,0
43,61,3,50,1
34,59,1,42,0
57,82,2,50,1
50,45,2,41,1
26,53,0,40,0
60,53,3,36,1
56,73,0,55,1
46,48,1,31,0
59,54,0,55,1
43,59,0,44,0
52,52,1,26,0
42,43,0,43,0
41,52,1,18,0
30,66,1,46,1
24,34,0,48,0
53,51,0,34,1
62,39,1,41,1
37,67,1,59,1
18,27,2,34,0
25,41,1,29,0
63,55,2,54,1
33,73,1,59,0
31,49,1,40,0
29,41,1,50,0
40,78,0,53,1
32,28,1,32,0
45,17,2,35,0
51,56,1,52,1
19,42,2,56,0
49,34,2,45,0
40,60,2,31,1
39,53,3,59,1
42,41,1,34,0
39,30,1,36,0
39,63,1,43,1
59,59,1,55,1
23,48,1,48,0
32,77,2,44,1
60,33,1,44,1
54,27,1,40,1
50,39,0,45,0
25,49,1,14,0
61,53,0,37,1
61,46,2,42,1
22,55,1,28,0
56,31,0,43,1
21,71,0,37,0
23,48,1,57,0
62,66,1,55,1
49,55,1,35,1
47,56,0,38,0
64,58,1,39,1
52,56,1,35,0
57,59,1,41,1
33,69,1,32,1
30,52,1,28,0
59,60,0,46,1
47,48,3,46,1
36,71,1,31,0
34,39,1,48,0
36,77,0,33,0
45,49,1,42,1
43,28,0,48,0
54,51,1,39,1
43,39,3,44,1
40,62,1,34,1
26,40,0,38,0
29,43,0,37,0
18,21,1,32,0
18,43,0,38,0
64,15,0,24,0
51,26,2,35,0
49,61,1,37,1
42,61,0,37,0
57,56,3,37,1
62,35,0,39,0
18,49,3,44,0
33,49,1,48,0
56,32,2,33,1
22,72,1,27,0
39,63,2,29,0
46,46,3,35,1
20,50,0,36,0
29,53,3,32,1
43,19,1,27,0
33,46,1,35,0
54,39,1,41,1
39,34,1,45,0
46,45,0,34,0
31,76,1,35,0
45,59,1,30,1
22,41,2,39,0
64,58,2,31,1
47,70,1,45,1
63,63,1,22,1
22,50,0,36,0
29,40,0,43,0
33,60,0,41,0
43,55,1,66,0
43,63,0,43,0
38,59,3,29,1
56,65,1,39,1
53,41,1,22,1
50,69,1,39,1
47,52,0,31,0
54,81,1,49,1
40,39,1,34,1
27,76,1,38,0
22,52,1,33,0
53,40,3,57,1
51,42,2,36,1
48,45,1,58,0
27,56,1,48,0
36,57,1,44,0
49,41,0,43,0
18,49,1,43,0
22,82,0,20,0
62,75,1,37,1
21,56,1,48,0
33,50,0,39,0
41,51,3,25,1
33,59,3,39,1
19,34,2,57,0
45,46,1,52,0
49,24,2,39,1
44,55,0,49,1
37,59,2,36,1
41,42,0,22,0
29,73,2,30,0
52,31,0,55,1
50,28,2,37,0
50,53,3,37,1
60,65,0,37,1
54,75,1,59,1
29,43,3,56,1
20,66,1,62,0
18,49,2,38,0
50,47,1,42,1
57,63,1,24,1
27,59,0,54,0
60,26,0,28,0
61,72,2,42,1
46,70,1,29,1
30,40,1,34,0
29,55,1,31,0
48,57,1,33,1
63,53,2,34,1
19,41,3,34,0
52,39,1,48,1
40,49,2,28,1
34,67,2,42,0
43,58,1,52,1
25,44,3,34,0
46,61,0,32,0
43,15,0,37,0
27,67,2,51,0
43,23,1,41,0
51,44,2,34,1
58,33,2,44,1
24,30,0,28,0
21,67,2,46,0
62,42,1,44,1
28,55,1,36,0
46,49,1,31,1
53,57,3,31,1
42,51,0,45,0
38,30,1,52,1
53,64,1,33,1
27,42,2,44,0
54,26,1,19,0
26,43,0,34,0
41,72,0,39,0
52,62,1,30,1
52,44,2,30,1
53,44,0,33,1
35,45,0,42,0
56,81,3,38,1
49,55,0,17,0
41,56,3,18,1
40,65,1,33,0
49,53,2,44,1
54,46,0,12,0
29,47,0,35,0
30,48,2,34,0
40,49,2,53,1
42,60,2,36,1
52,50,0,43,1
58,60,2,41,1
47,48,2,18,1
34,51,1,47,0
37,20,2,42,0
42,63,2,45,1
39,55,1,79,1
30,64,0,19,0
36,15,1,57,0
53,81,0,37,1
29,47,1,42,0
58,66,1,39,1
36,34,0,35,0
29,59,1,34,1
26,34,0,43,0
24,40,2,24,0
45,78,3,47,1
31,47,0,35,0
48,53,3,28,1
36,63,1,35,1
64,57,0,52,1
33,52,0,34,0
22,55,1,43,0
52,86,2,32,1
29,49,2,47,0
42,53,0,46,0
38,65,0,58,0
53,66,1,38,1
40,67,0,46,1
33,59,0,40,0
56,32,0,52,1
62,74,2,32,1
59,32,3,47,1
56,54,1,38,1
31,38,3,39,0
48,49,1,40,1
22,54,1,42,0
52,54,0,38,1
40,56,1,42,1
46,74,3,55,1
60,56,1,49,1
28,46,1,48,0
35,64,1,35,1
64,67,0,31,1
29,31,2,49,0
26,58,1,48,0
27,60,1,54,0
61,45,1,33,1
34,70,1,37,0
55,47,0,23,0
24,51,1,36,0
63,47,0,49,1
30,50,2,35,1
57,33,2,46,1
59,28,2,38,1
26,73,1,43,0
44,37,1,28,1
19,35,0,40,0
22,17,2,10,0
46,40,0,38,0
54,30,1,23,0
55,74,0,52,1
36,65,0,47,0
25,39,1,44,0
62,83,0,55,1
18,64,2,30,0
39,45,1,57,0
34,15,0,49,0
24,84,1,37,0
42,29,0,51,0
62,25,0,28,1
21,65,2,31,0
53,86,0,33,1
23,70,2,34,0
48,58,0,29,1
36,58,0,52,0
61,62,2,37,1
56,61,1,43,1
44,54,0,34,0
27,51,1,21,0
43,49,0,42,1
36,38,2,20,0
56,45,1,39,1
20,24,2,26,0
62,48,2,59,1
30,35,1,49,0
45,33,3,41,1
37,52,1,52,1
45,70,3,31,1
25,63,0,45,0
58,26,1,41,1
56,35,1,42,1
18,64,1,52,0
20,35,1,47,1
30,46,2,42,0
45,58,0,23,0
42,35,0,30,0
50,51,2,38,1
55,29,1,40,1
23,40,3,28,1
61,54,2,64,1
62,26,3,55,1
49,56,2,46,1
62,49,0,40,0
64,58,0,37,1
38,53,2,30,0
33,70,1,40,0
38,51,0,42,0
28,43,1,27,0
54,51,3,43,1
53,58,1,38,1
52,50,1,20,0
36,50,1,31,0
37,39,0,35,0
35,40,1,58,0
64,28,1,45,1
58,76,0,26,1
31,31,2,44,0
32,39,1,24,0
48,39,2,50,1
18,63,2,35,0
20,45,0,39,0
33,68,1,53,0
40,39,1,27,0
28,54,2,26,0
29,37,0,34,0
27,82,1,50,0
49,32,1,24,0
33,54,0,11,0
25,59,0,35,0
55,56,1,45,1
29,47,2,52,1
41,48,1,35,0
45,50,1,35,0
25,47,1,51,0
45,64,2,21,1
53,83,0,36,1
43,41,2,41,1
25,29,0,44,0
45,48,1,34,1
45,88,0,40,1
54,37,0,15,1
58,74,1,33,1
53,75,0,44,1
44,41,2,30,0
34,58,0,40,0
26,74,1,44,0
50,44,1,36,1
37,46,0,41,0
30,41,0,30,0
45,34,1,37,0
46,40,1,46,1
30,31,1,41,0
63,50,1,34,1
52,38,1,42,1
23,53,0,47,0
35,26,1,19,0
22,54,3,51,1
64,62,1,36,1
42,20,1,44,0
19,55,1,51,0
27,68,2,26,0
47,31,2,32,1
62,75,1,37,1
22,56,3,32,0
50,39,0,57,0
18,49,0,31,0
35,58,2,34,1
49,51,2,42,1
64,58,0,27,1
28,36,0,36,0
38,52,0,43,0
43,28,0,36,0
42,48,2,39,1
39,36,1,34,0
44,38,1,24,0
30,68,1,43,0
50,66,0,57,1
51,59,0,40,1
58,33,1,42,1
52,45,3,46,1
18,68,2,27,0
38,52,0,57,0
23,84,2,42,0
45,55,2,56,1
34,52,2,32,0
22,45,1,58,0
48,52,1,47,1
22,47,1,45,0
55,60,0,42,1
20,64,0,37,0
40,38,0,52,0
54,30,1,41,1
54,22,2,20,1
27,57,1,28,0
27,33,0,38,0
36,17,3,43,1
34,55,3,39,1
38,87,2,52,1
31,49,3,20,1
26,62,1,41,0
63,51,3,21,1
18,48,0,47,0
62,63,1,39,1
30,45,0,44,0
21,54,0,31,0
18,54,0,52,0
57,39,1,50,1
49,64,2,45,1
51,47,1,38,1
45,38,0,45,0
48,58,2,32,1
25,36,1,48,0
56,50,1,56,1
43,49,1,50,1
51,66,0,32,1
20,57,1,43,0
29,49,3,27,0
18,62,0,45,0
61,70,1,44,1
22,58,2,21,0
47,50,2,28,1
47,30,0,37,0
34,34,0,36,0
64,45,0,27,0
40,40,1,43,1
32,47,1,42,0
54,50,0,38,1
38,57,3,32,0
31,48,1,50,0
19,57,0,56,0
28,50,1,35,0
56,20,1,33,1
55,35,0,44,1
51,47,0,36,1
55,31,2,38,1
51,58,1,47,1
35,72,1,20,0
47,68,1,53,1
32,46,0,40,0
44,72,0,35,1
51,52,1,39,1
55,44,0,39,1
50,40,0,22,1
41,45,2,54,1
32,44,3,40,1
47,52,2,44,1
59,52,2,49,1
34,50,0,29,0
22,56,3,44,1
46,67,0,37,1
21,64,3,48,1
27,27,3,18,1
34,15,2,39,0
27,64,3,33,1
34,29,1,44,0
37,46,0,44,0
41,32,1,32,0
22,22,1,32,0
51,58,0,38,0
23,61,1,31,0
19,41,3,48,0
30,15,0,36,0
60,41,2,10,1
60,55,3,36,1
28,27,3,29,1
64,52,3,23,1
40,49,1,27,0
33,58,3,41,1
48,51,2,53,1
28,35,0,43,0
33,67,1,33,0
25,47,2,44,0
21,49,0,35,0
57,36,1,33,0
21,43,1,28,0
42,36,0,22,0
20,47,1,36,0
49,75,2,41,1
20,29,1,39,0
44,25,0,35,0
46,72,0,30,0
49,46,1,46,1
36,39,3,26,1
38,65,0,47,0
22,40,1,29,0
35,77,0,32,0
45,60,1,25,1
59,42,2,34,1
39,82,2,49,1
38,40,0,45,0
23,61,1,49,0
18,54,0,45,0
22,69,1,28,0
58,73,1,36,1
29,50,0,32,0
43,38,0,53,0
63,56,1,28,1
51,39,3,48,1
31,80,3,48,1
43,52,0,58,0
62,44,2,35,1
44,52,1,47,1
26,29,1,62,0
43,35,2,33,0
64,68,3,24,1
39,40,3,21,1
64,34,1,47,1
47,58,1,21,0
60,67,2,36,1
34,60,0,44,0
43,64,1,41,1
53,38,1,44,1
18,28,1,42,0
25,72,0,52,0
52,45,0,30,1
32,46,3,33,0
64,69,0,32,1
39,58,1,48,0
31,56,0,49,0
43,82,0,44,0
45,40,0,51,0
40,63,0,28,0
31,50,2,56,1
41,54,0,55,0
19,72,3,47,1
62,57,1,57,1
43,58,1,23,1
31,66,1,34,0
24,44,1,32,0
20,37,2,47,0
64,34,0,29,0
40,20,1,47,0
63,80,2,53,1
60,33,3,46,1
64,46,2,42,1
62,45,1,30,1
35,54,2,31,1
55,62,1,52,1
52,62,1,47,1
32,41,0,39,0
42,47,1,35,0
54,54,0,19,1
45,46,1,29,0
27,74,2,59,1
56,57,0,27,0
34,61,0,41,0
56,59,0,50,1
39,67,3,27,1
43,52,1,41,1
61,30,1,49,1
42,55,2,40,0
34,40,2,68,1
30,42,1,23,0
37,58,1,50,1
42,68,2,38,1
21,50,1,47,0
27,54,0,44,0
20,75,2,32,1
58,53,1,42,1
62,89,0,21,1
35,58,1,46,1
64,23,0,42,1
53,61,0,46,1
64,55,2,50,1
39,69,0,43,0
51,60,1,41,1
64,47,1,31,1
25,31,0,32,0
57,46,3,51,1
61,37,0,54,1
36,41,1,37,0
59,58,1,40,1
58,75,0,30,1
54,55,0,51,1
23,32,2,46,0
43,56,3,59,1
51,67,0,31,1
62,40,1,36,1
23,47,2,42,0
54,50,2,46,1
50,38,1,37,1
39,59,1,31,0
38,48,1,48,0
23,56,2,47,0
23,36,2,30,0
21,43,0,53,0
47,60,1,51,1
28,44,3,41,0
47,75,2,40,1
48,44,3,45,1
41,53,2,31,1
26,63,1,40,0
20,28,1,18,0
48,23,1,48,1
57,27,0,24,0
54,68,1,55,1
53,41,2,36,1
41,88,0,37,1
48,41,2,33,1
23,52,1,37,0
19,73,3,54,1
37,80,0,15,0
45,80,0,52,0
28,68,1,43,0
21,65,0,27,0
32,58,2,29,0
23,61,2,56,0
47,41,0,30,0
55,37,1,28,0
19,49,1,51,0
32,47,1,43,0
28,43,3,30,0
25,60,2,42,0
43,64,1,29,1
62,51,2,51,1
61,72,1,50,1
22,32,3,45,0
23,47,1,43,0
43,39,2,57,1
21,22,2,39,0
36,48,0,28,0
37,48,2,44,0
50,72,0,60,1
37,59,1,29,0
29,34,1,36,0
64,77,3,44,1
18,68,2,39,0
43,58,2,30,1
31,46,2,51,0
55,35,1,63,1
54,44,3,41,1
28,66,1,30,0
53,78,1,24,1
30,73,0,42,0
60,42,2,51,1
20,33,2,44,0
50,52,1,39,1
23,23,0,34,0
27,54,2,29,1
22,47,0,48,0
40,43,2,49,1
27,26,3,24,0
61,57,1,55,1
19,42,0,45,0
